"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SH3PXD2B",3.74936989836101e-08,0.365541113782117,0.5,0.168,0.000708630910790232,"17","SH3PXD2B"
"HOOK3",5.6387493254539e-08,0.389069304724627,0.548,0.199,0.00106572362251079,"17","HOOK3"
"VCL",5.68469411826899e-08,0.631533837842275,0.786,0.439,0.00107440718835284,"17","VCL"
"C33",5.69682563094688e-08,0.6316485592536,0.833,0.453,0.00107670004424896,"17","C3"
"ADAM192",6.77607383928922e-08,0.560016143590925,0.69,0.34,0.00128067795562566,"17","ADAM19"
"WARS1",6.99835530721488e-08,0.622197019332002,0.833,0.464,0.00132268915306361,"17","WARS"
"TYROBP2",7.4220957238005e-08,0.660387596854829,0.667,0.308,0.00140277609179829,"17","TYROBP"
"SFRP43",8.33034360624056e-08,0.509940580104858,0.619,0.251,0.00157443494157947,"17","SFRP4"
"THBS12",8.72367384233819e-08,0.721549874774097,0.81,0.431,0.00164877435620192,"17","THBS1"
"CTSL1",8.84930863501056e-08,0.627300328260887,0.619,0.289,0.001672519332017,"17","CTSL"
"TUBA1A3",1.31136735451661e-07,0.72997023192002,0.738,0.432,0.0024784843000364,"17","TUBA1A"
"UACA",1.4086264997443e-07,0.393255443992498,0.571,0.216,0.00266230408451673,"17","UACA"
"LRP11",1.74196554759752e-07,0.634136306869151,0.833,0.535,0.00329231488495931,"17","LRP1"
"LAMB2",1.85240567997624e-07,0.632724855648277,0.643,0.319,0.00350104673515509,"17","LAMB2"
"ERRFI1",1.86369205530579e-07,0.416245632678183,0.548,0.217,0.00352237798452795,"17","ERRFI1"
"LGMN1",1.86473886426806e-07,0.552289066999834,0.81,0.429,0.00352435645346662,"17","LGMN"
"CCND3",2.12959289752831e-07,0.399931177950967,0.5,0.183,0.0040249305763285,"17","CCND3"
"CXCL13",2.27507212089107e-07,0.833933566421849,0.548,0.217,0.00429988630848413,"17","CXCL1"
"MYL12A",2.30628866272681e-07,0.56055389412491,0.929,0.788,0.00435888557255366,"17","MYL12A"
"HLA-DRB12",2.9041971636092e-07,0.639616575591227,0.976,0.854,0.00548893263922138,"17","HLA-DRB1"
"TAPBP",3.22278175525537e-07,0.512612969173209,1,0.864,0.00609105751743265,"17","TAPBP"
"SIRPA",3.69250498694236e-07,0.399095955409822,0.524,0.205,0.00697883442532106,"17","SIRPA"
"PARVA",3.72692458613805e-07,0.50117613721205,0.69,0.326,0.00704388746780092,"17","PARVA"
"ATP6V1B2",4.17607513770707e-07,0.369928102828907,0.595,0.244,0.00789278201026636,"17","ATP6V1B2"
"MYADM",4.39562052564999e-07,0.420914065615513,0.714,0.333,0.00830772279347847,"17","MYADM"
"HLA-DPA12",4.59157874099593e-07,0.487338639104257,0.929,0.607,0.00867808382048232,"17","HLA-DPA1"
"SIPA1",4.59949063580462e-07,0.383168786359183,0.619,0.264,0.00869303730167073,"17","SIPA1"
"DAPK3",4.78896916747214e-07,0.383693370950462,0.595,0.246,0.00905115172652234,"17","DAPK3"
"HDAC7",6.28673029923447e-07,0.398526269893318,0.643,0.286,0.0118819202655532,"17","HDAC7"
"CNN3",6.5525500709049e-07,0.582609395332377,0.905,0.602,0.0123843196340103,"17","CNN3"
"C1orf198",7.20816062230569e-07,0.429524517196364,0.595,0.264,0.0136234235761577,"17","C1orf198"
"HERPUD1",7.24301221121181e-07,0.499474601655875,0.69,0.357,0.0136892930791903,"17","HERPUD1"
"VGLL4",8.36174526468653e-07,0.489925541250008,0.738,0.388,0.0158036985502575,"17","VGLL4"
"ARHGAP1",9.33609785916714e-07,0.559730489686242,0.738,0.419,0.0176452249538259,"17","ARHGAP1"
"FKBP9",9.90441330896205e-07,0.517950713553824,0.929,0.597,0.0187193411539383,"17","FKBP9"
"AGPAT1",1.15489309699325e-06,0.309597514945588,0.571,0.228,0.0218274795331724,"17","AGPAT1"
"TLN11",1.22149333448803e-06,0.494305979525659,0.762,0.442,0.0230862240218238,"17","TLN1"
"ID32",1.2646437143089e-06,0.556031219027935,0.667,0.329,0.0239017662004381,"17","ID3"
"EMP13",1.42046278520667e-06,0.507283471766849,0.738,0.392,0.0268467466404061,"17","EMP1"
"CCDC801",1.54369091972741e-06,0.321229284003809,0.524,0.203,0.029175758382848,"17","CCDC80"
"B4GALT11",1.70356639299333e-06,0.599885006962738,0.762,0.477,0.0321974048275739,"17","B4GALT1"
"NFE2L1",1.72216813651153e-06,0.433675279754799,0.786,0.426,0.032548977780068,"17","NFE2L1"
"MMP91",1.84949930020212e-06,0.880262075335061,0.643,0.33,0.0349555367738201,"17","MMP9"
"GNB1",1.93081864256935e-06,0.551824099326838,0.929,0.719,0.0364924723445607,"17","GNB1"
"CXCL91",1.95851027799086e-06,0.760056327637961,0.619,0.314,0.0370158442540272,"17","CXCL9"
"NFKB2",1.97129211694979e-06,0.440327969071729,0.643,0.302,0.0372574210103511,"17","NFKB2"
"SH3PXD2A",1.97177952379871e-06,0.393576135995923,0.524,0.219,0.0372666329997956,"17","SH3PXD2A"
"TNFRSF6B1",2.34317032237091e-06,0.371648537195148,0.595,0.258,0.0442859190928101,"17","TNFRSF6B"
"EXT1",2.42796163886644e-06,0.362570079384708,0.548,0.231,0.0458884749745756,"17","EXT1"
"PDE4DIP",2.50730889551957e-06,0.341375857115585,0.5,0.201,0.0473881381253199,"17","PDE4DIP"
"ISG153",2.60008141099177e-06,0.63016863054411,0.881,0.564,0.0491415386677444,"17","ISG15"
"TNS3",2.72833743152375e-06,0.47101113753218,0.69,0.353,0.0515655774557989,"17","TNS3"
"SOD31",2.94810272529134e-06,0.435209687854645,0.643,0.308,0.0557191415080064,"17","SOD3"
"BHLHE40",2.97899671849853e-06,0.427768345292486,0.667,0.338,0.0563030379796223,"17","BHLHE40"
"TSKU",3.26706877606491e-06,0.386533322735424,0.571,0.255,0.0617475998676268,"17","TSKU"
"GBP1",3.5316156550564e-06,0.594927173309001,0.548,0.255,0.0667475358805659,"17","GBP1"
"MGAT11",3.96611930810498e-06,0.453100939674413,0.81,0.477,0.074959654923184,"17","MGAT1"
"NKIRAS2",4.04530247212508e-06,0.368783088529776,0.524,0.226,0.076456216723164,"17","NKIRAS2"
"GNAI23",4.05952739669294e-06,0.618909832644494,0.714,0.419,0.0767250677974967,"17","GNAI2"
"ADAM9",4.10097609028364e-06,0.394372139476489,0.548,0.24,0.0775084481063609,"17","ADAM9"
"ARHGDIB1",4.33436727173418e-06,0.440319970075054,0.595,0.272,0.0819195414357759,"17","ARHGDIB"
"IRF8",4.5789021732826e-06,0.341407165941439,0.595,0.267,0.0865412510750412,"17","IRF8"
"AP3S1",4.58574895659875e-06,0.331852197604184,0.524,0.219,0.0866706552797164,"17","AP3S1"
"MFSD121",4.76422351220652e-06,0.416882583268124,0.786,0.431,0.0900438243807033,"17","MFSD12"
"MGAT2",4.85341461557486e-06,0.330558203134998,0.595,0.263,0.0917295362343649,"17","MGAT2"
"PLD32",5.47946053519711e-06,0.401553001205344,0.905,0.623,0.103561804115225,"17","PLD3"
"C15orf39",5.96604859615137e-06,0.339775928085074,0.548,0.237,0.112758318467261,"17","C15orf39"
"CYB5R3",6.06228201638694e-06,0.46484721702115,0.833,0.502,0.114577130109713,"17","CYB5R3"
"S100A43",6.1060613432889e-06,0.761015660556751,0.929,0.697,0.11540455938816,"17","S100A4"
"TNIP2",6.81515796441836e-06,0.388556696125705,0.524,0.232,0.128806485527507,"17","TNIP2"
"FNBP1",7.11425427438062e-06,0.338957922648006,0.524,0.226,0.134459405785794,"17","FNBP1"
"NBL11",7.70549973377322e-06,0.682504077425039,0.929,0.802,0.145633944968314,"17","NBL1"
"FKBP101",7.87488739216825e-06,0.40127094127868,0.571,0.275,0.14883537171198,"17","FKBP10"
"MAGED1",8.12896232095355e-06,0.475092534962357,0.738,0.42,0.153637387866022,"17","MAGED1"
"SEC13",8.13751012680137e-06,0.414394902038302,0.714,0.393,0.153798941396546,"17","SEC13"
