"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TUBA1C3",7.36319677577936e-09,0.363908265588673,0.921,0.759,0.000154258972452578,"14","TUBA1C"
"TUBB32",7.94483075024737e-09,0.389542449483955,0.849,0.675,0.000166444204217682,"14","TUBB3"
"PXN2",9.53191525848765e-09,0.45908261489191,0.817,0.66,0.000199693624665316,"14","PXN"
"CHST24",1.01015756117243e-08,0.418934440648522,0.897,0.675,0.000211628009065624,"14","CHST2"
"ACP62",1.14211402776123e-08,0.383885888980462,0.627,0.398,0.000239272888815977,"14","ACP6"
"CROT3",1.57228626070678e-08,0.480817035095874,0.683,0.479,0.000329393971618071,"14","CROT"
"SHC13",1.75692579805674e-08,0.353395667097892,0.841,0.623,0.000368075954692887,"14","SHC1"
"SLC10A43",2.31534615113875e-08,0.351813719371247,0.968,0.853,0.000485065018663568,"14","SLC10A4"
"PIEZO12",3.76222865437649e-08,0.374978233239545,0.69,0.473,0.000788186903091874,"14","PIEZO1"
"PRSS232",5.41732345158987e-08,0.358516746446515,0.802,0.575,0.00113492926310808,"14","PRSS23"
"HYOU12",6.60995215103639e-08,0.375809768200741,0.73,0.522,0.00138478497564212,"14","HYOU1"
"DHCR241",7.6636761335697e-08,0.333602451540891,0.516,0.297,0.00160554014998285,"14","DHCR24"
"COLGALT23",7.77695339949246e-08,0.341095605770375,0.889,0.748,0.00162927173719367,"14","COLGALT2"
"TXNDC173",8.85794961701279e-08,0.330116225595991,0.881,0.705,0.00185574044476418,"14","TXNDC17"
"CTSC1",9.37509694590403e-08,0.306647506123555,0.897,0.691,0.00196408281016689,"14","CTSC"
"PGD1",1.13531294929188e-07,0.344111580326489,0.714,0.507,0.00237848062876648,"14","PGD"
"CHRD3",1.50413953543826e-07,0.356140468142992,0.579,0.36,0.00315117232674316,"14","CHRD"
"RCAN12",2.10218133973811e-07,0.384008338912019,0.627,0.423,0.00440406990675134,"14","RCAN1"
