"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"C19orf25",4.16227470528135e-06,0.300990771740161,0.508,0.242,0.0663716324504164,"12","C19orf25"
"SMPD2",4.2689898140187e-06,0.356286430479691,0.576,0.299,0.0680733115743422,"12","SMPD2"
"CPNE32",4.30742642888096e-06,0.409669416283469,0.881,0.596,0.0686862218349358,"12","CPNE3"
"TMEM372",4.48259653930877e-06,0.286695371449951,0.661,0.34,0.0714794844158177,"12","TMEM37"
"LZTFL12",4.51922107847982e-06,0.281443869768993,0.644,0.324,0.0720634993174392,"12","LZTFL1"
"LRP113",4.54636986482985e-06,0.369032382517277,0.746,0.449,0.0724964138645767,"12","LRP11"
"SLC1A5",4.5765140983377e-06,0.429431790217964,0.763,0.458,0.072977093812093,"12","SLC1A5"
"BAMBI4",4.58811343594575e-06,0.355344884463562,0.915,0.648,0.0731620568495909,"12","BAMBI"
"PPP2R5B",4.67014955975914e-06,0.286468371993753,0.508,0.24,0.0744702048799192,"12","PPP2R5B"
"EIF2AK12",4.67837147059231e-06,0.401555793811857,0.881,0.572,0.0746013114700649,"12","EIF2AK1"
"PLEKHA8",4.77027351580639e-06,0.355786978973444,0.678,0.378,0.0760667814830487,"12","PLEKHA8"
"ZBED4",4.7991366304102e-06,0.295415097479012,0.61,0.316,0.0765270327085211,"12","ZBED4"
"SH2D4A2",4.8301909343427e-06,0.281031072690041,0.508,0.237,0.0770222246390287,"12","SH2D4A"
"WDR181",4.85840890554239e-06,0.340466627890932,0.627,0.334,0.077472188407779,"12","WDR18"
"CBX82",4.88003180840986e-06,0.287065815678688,0.542,0.259,0.0778169872169037,"12","CBX8"
"RAB153",5.03069056314022e-06,0.361743106036016,0.644,0.355,0.0802193917198339,"12","RAB15"
"LAD13",5.03457509855466e-06,0.34558906050352,0.78,0.455,0.0802813345215526,"12","LAD1"
"CCDC9",5.05680086642253e-06,0.356236304703028,0.542,0.285,0.0806357466159736,"12","CCDC9"
"AGO21",5.088871334111e-06,0.395873276940373,0.847,0.662,0.0811471422937339,"12","AGO2"
"VANGL22",5.14254922274105e-06,0.255035864157096,0.542,0.254,0.0820030899058289,"12","VANGL2"
"TBC1D24",5.15763742555352e-06,0.33382170918761,0.576,0.29,0.0822436863878764,"12","TBC1D24"
"GARS",5.21543983922997e-06,0.380806863253125,0.61,0.332,0.0831654036763611,"12","GARS"
"CTPS23",5.27910855836184e-06,0.333907255455884,0.61,0.313,0.0841806650716378,"12","CTPS2"
"DTD1",5.28374945497769e-06,0.326994390721742,0.576,0.296,0.0842546688090743,"12","DTD1"
"ZG16B3",5.34841004469548e-06,0.298435294449783,0.746,0.386,0.0852857465727141,"12","ZG16B"
"FAM107B",5.51122016745411e-06,0.446779914668796,0.763,0.512,0.0878819167902233,"12","FAM107B"
"SAP30",5.58934300345862e-06,0.281740574169286,0.542,0.263,0.0891276635331511,"12","SAP30"
"GORASP1",5.83751206510351e-06,0.320903043911101,0.661,0.366,0.0930849673901406,"12","GORASP1"
"TRPM42",5.95696536674009e-06,0.439901964477527,0.831,0.566,0.0949897697380375,"12","TRPM4"
"NIBAN1",5.97357236096506e-06,0.373473369130776,0.678,0.407,0.0952545848679489,"12","NIBAN1"
"ADCK5",5.99009202089735e-06,0.341541261118191,0.559,0.286,0.0955180073652292,"12","ADCK5"
"PDLIM3",6.02400896744998e-06,0.333149736383143,0.712,0.389,0.0960588469949573,"12","PDLIM3"
"MTUS12",6.07645549094756e-06,0.455213551678018,0.78,0.599,0.0968951592586498,"12","MTUS1"
"STAC22",6.07664933639154e-06,0.391881935389808,0.576,0.3,0.0968982503180995,"12","STAC2"
"STK38L1",6.10089027061756e-06,0.312812195436297,0.763,0.431,0.0972847962552677,"12","STK38L"
"C8orf761",6.12907947744168e-06,0.452876980339364,0.746,0.462,0.097734301347285,"12","C8orf76"
"TARS",6.448246089963e-06,0.463529422787609,0.881,0.691,0.10282373215055,"12","TARS"
"PSMD21",6.51317088708192e-06,0.417034010537862,0.949,0.829,0.103859022965408,"12","PSMD2"
"METTL21A1",6.55124928314651e-06,0.275797101258408,0.627,0.319,0.104466221069054,"12","METTL21A"
"ASAP32",6.5616158928641e-06,0.450767646646826,0.847,0.58,0.104631527027611,"12","ASAP3"
"SS18L13",6.57979441248203e-06,0.369167628573648,0.695,0.413,0.104921401701438,"12","SS18L1"
"ITGB5",6.5919551625e-06,0.362257457777011,1,0.898,0.105115317021225,"12","ITGB5"
"FAF2",6.63745538765224e-06,0.320651012177362,0.763,0.427,0.105840863611503,"12","FAF2"
"PAK43",6.7352099721256e-06,0.455081732495607,0.729,0.475,0.107399658215515,"12","PAK4"
"FARP12",6.78920459247685e-06,0.353284226653534,0.966,0.855,0.108260656431636,"12","FARP1"
"RETREG22",6.79058568447803e-06,0.376131774900614,0.712,0.418,0.108282679324687,"12","RETREG2"
"MTAP1",7.03464506439672e-06,0.317792207019609,0.627,0.328,0.11217445019687,"12","MTAP"
"PLA2R12",7.06479604426424e-06,0.368106497064947,0.627,0.348,0.112655237721838,"12","PLA2R1"
"HIPK1",7.19319967587065e-06,0.295772126569113,0.644,0.345,0.114702762031433,"12","HIPK1"
"TSFM",7.26058266023758e-06,0.288132318820626,0.576,0.292,0.115777251100148,"12","TSFM"
"MPHOSPH10",7.30396356443183e-06,0.36201940500093,0.644,0.361,0.11646900299843,"12","MPHOSPH10"
"TOGARAM1",7.450157521969e-06,0.287955270109383,0.525,0.259,0.118800211845318,"12","TOGARAM1"
"RGL22",7.49874961641139e-06,0.361862487985234,0.966,0.865,0.119575061383296,"12","RGL2"
"ZNF649",7.75346907978283e-06,0.257581621065864,0.542,0.26,0.123636817946217,"12","ZNF649"
"TARBP2",7.83305288725416e-06,0.374786701074808,0.627,0.354,0.124905861340155,"12","TARBP2"
"HINT31",7.96710825633075e-06,0.34865210845008,0.678,0.377,0.12704350825545,"12","HINT3"
"ARFGAP3",7.9689925635467e-06,0.387120678283488,0.729,0.449,0.127073555418316,"12","ARFGAP3"
"LATS2",8.02252476258963e-06,0.258745177257567,0.576,0.283,0.127927179864254,"12","LATS2"
"HDAC113",8.03924528898547e-06,0.376165635496924,0.559,0.302,0.128193805378162,"12","HDAC11"
"RTKN2",8.09201098416998e-06,0.295266361431282,0.695,0.374,0.129035207153575,"12","RTKN"
"STK161",8.16805740132544e-06,0.284445115519552,0.593,0.305,0.130247843321535,"12","STK16"
"SLC11A23",8.29261432450753e-06,0.375156670314145,0.983,0.777,0.132234028018597,"12","SLC11A2"
"LIMD1",8.40813659607174e-06,0.345237226569112,0.763,0.45,0.13407614616096,"12","LIMD1"
"GDPD12",8.43410007265982e-06,0.290659426872619,0.525,0.259,0.134490159758633,"12","GDPD1"
"RHBDF13",8.49221685507915e-06,0.411221241273809,0.695,0.405,0.135416889971092,"12","RHBDF1"
"TJP33",8.92344142786792e-06,0.36979617332206,0.644,0.359,0.142293197008782,"12","TJP3"
"ITPA3",8.92730322898233e-06,0.455213551678018,0.864,0.657,0.142354777289352,"12","ITPA"
"GNA12",9.01175631188775e-06,0.300169249878179,0.627,0.337,0.143701466149362,"12","GNA12"
"DDX23",9.11740524398222e-06,0.385994508534231,1,0.886,0.14538614402054,"12","DDX23"
"RBM472",9.17437262429821e-06,0.359331267742498,0.797,0.504,0.146294545867059,"12","RBM47"
"AARS",9.35393635799939e-06,0.423561853483257,0.78,0.532,0.149157869164658,"12","AARS"
"ACOT8",9.42081582716621e-06,0.320199229306303,0.576,0.304,0.150224329179992,"12","ACOT8"
"STARD102",9.45934660974207e-06,0.439946795024707,0.864,0.674,0.150838741038947,"12","STARD10"
"ISOC2",9.53330565691568e-06,0.286482128519862,0.576,0.293,0.152018092005177,"12","ISOC2"
